Word;translation;Example;Part of speech;Theme;;;;;;;;;;;;;;;;;;;;;
move;двигать(ся);;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
stop;останавливать(ся);;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
lift;поднимать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
raise;поднимать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
rise;подниматься;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
lower;опускать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go out;выходить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go in;входить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
leave;отправляться;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
cross;пересекать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go along;идти вдоль;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
follow;следовать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
turn right / left;повернуть направо / налево;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
arrive;прибывать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
return;возвращаться;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go;идти / ехать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
come;приходить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go on foot;идти пешком;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
run;бежать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
fly;летать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
ride;скакать / ехать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
put;ставить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
lay;положить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
lie;лежать;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
sit;сидеть;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
sit down;садиться;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
stand;стоять / ставить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
hang;висеть / вешать;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
take off;снять;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
