Word;Part of speech;Translation;example;theme
almond;noun;ru: миндаль--ua: мигдаль;Almonds are rich in vitamins. + She added almonds to the cake. + I love eating roasted almonds.;ua: їжа -- ru: еда
anchovy;noun;ru: анчоус--ua: анчоус;Anchovies are often used in pizza toppings. + He bought a can of anchovies. + Anchovies have a strong, salty taste.;ua: їжа -- ru: еда
appetizer;noun;ru: закуска--ua: закуска;We ordered an appetizer before the main course. + Cheese sticks are a great appetizer. + The restaurant serves delicious appetizers.;ua: їжа -- ru: еда
apple;noun;ru: яблоко--ua: яблуко;I like apples. + Apples are useful for health. + She ate a red apple.;ua: їжа -- ru: еда
apple sauce;noun;ru: яблочное пюре--ua: яблучне пюре;He made homemade apple sauce. + Apple sauce is often served with pork. + The baby loves eating apple sauce.;ua: їжа -- ru: еда
apricot;noun;ru: абрикос--ua: абрикос;Apricots are sweet and juicy. + She bought dried apricots. + Apricot trees bloom in the spring.;ua: їжа -- ru: еда
artichoke;noun;ru: артишок--ua: артишок;Artichokes are delicious when grilled. + He prepared a salad with artichokes. + I have never tried artichokes before.;ua: їжа -- ru: еда
arugula;noun;ru: руккола--ua: рукола;Arugula adds a peppery taste to salads. + She bought fresh arugula at the market. + I love arugula with lemon dressing.;ua: їжа -- ru: еда
asparagus;noun;ru: спаржа--ua: спаржа;Asparagus is a healthy vegetable. + He roasted asparagus with garlic. + Asparagus is often served with steak.;ua: їжа -- ru: еда
aspic;noun;ru: холодец--ua: холодець, драглі;My grandmother makes delicious aspic. + Aspic is a traditional dish in some countries. + He doesn’t like the texture of aspic.;ua: їжа -- ru: еда
assorted chocolates;noun;ru: ассорти из шоколада--ua: асорті з шоколаду;She received a box of assorted chocolates. + Assorted chocolates make a great gift. + The shop sells assorted chocolates in different flavors.;ua: їжа -- ru: еда
assortment;noun;ru: ассортимент, выбор--ua: асортимент, вибір;The store offers an assortment of fresh fruits. + There was an assortment of desserts at the party. + She bought an assortment of teas.;ua: їжа -- ru: еда
avocado;noun;ru: авокадо--ua: авокадо;Avocados are full of healthy fats. + He made guacamole from fresh avocados. + Avocado toast is very popular.;ua: їжа -- ru: еда
bacon;noun;ru: бекон--ua: бекон;He had eggs and bacon for breakfast. + Bacon adds a crispy texture to salads. + I love the smell of fried bacon.;ua: їжа -- ru: еда
to bake;verb;ru: печь, выпекать--ua: пекти, випікати;She loves to bake cakes. + He baked fresh bread in the morning. + I will bake cookies for the party.;ua: їжа -- ru: еда
baked goods;noun;ru: выпечка--ua: випічка;The bakery sells fresh baked goods. + He enjoys homemade baked goods. + Baked goods include cakes, bread, and pastries.;ua: їжа -- ru: еда
baking powder;noun;ru: разрыхлитель теста--ua: розпушувач тіста;Baking powder makes the cake rise. + She added a teaspoon of baking powder. + Always check the expiration date of baking powder.;ua: їжа -- ru: еда
banana;noun;ru: банан--ua: банан;Monkeys love bananas. + She ate a ripe banana. + Bananas are a great source of energy.;ua: їжа -- ru: еда
beans;noun;ru: бобы, фасоль--ua: боби, квасоля;He cooked beans with rice. + Beans are high in protein. + She grows beans in her garden.;ua: їжа -- ru: еда
beef;noun;ru: говядина--ua: яловичина;They ordered grilled beef for dinner. + Beef is often used in burgers. + He prefers beef over chicken.;ua: їжа -- ru: еда
beet;noun;ru: свекла--ua: буряк;Beet juice is very healthy. + She made a salad with fresh beets. + Beets give a natural red color to dishes.;ua: їжа -- ru: еда
beverage;noun;ru: напиток--ua: напій;Water is the healthiest beverage. + The menu includes a variety of beverages. + He ordered a cold beverage.;ua: їжа -- ru: еда
